SPY,SPY,SPY,SPY,SPY,SPY,SPY,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,TROW,TROW,TROW,TROW,TROW,TROW,TROW,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,VTI,VTI,VTI,VTI,VTI,VTI,VTI
open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
278.28,279.43,277.6,279.29,60185206,236263,278.725115,278.28,279.43,277.6,279.29,60185206,236263,278.725115,278.28,279.43,277.6,279.29,60185206,236263,278.725115,278.28,279.43,277.6,279.29,60185206,236263,278.725115,278.28,279.43,277.6,279.29,60185206,236263,278.725115
279.17,279.93,278.66,279.56,48259487,206152,279.527779,279.17,279.93,278.66,279.56,48259487,206152,279.527779,279.17,279.93,278.66,279.56,48259487,206152,279.527779,279.17,279.93,278.66,279.56,48259487,206152,279.527779,279.17,279.93,278.66,279.56,48259487,206152,279.527779
279.64,279.803,278.84,279.39,48722138,177350,279.312325,279.64,279.803,278.84,279.39,48722138,177350,279.312325,279.64,279.803,278.84,279.39,48722138,177350,279.312325,279.64,279.803,278.84,279.39,48722138,177350,279.312325,279.64,279.803,278.84,279.39,48722138,177350,279.312325
278.47,280.91,278.41,280.43,52890500,216883,280.027102,278.47,280.91,278.41,280.43,52890500,216883,280.027102,278.47,280.91,278.41,280.43,52890500,216883,280.027102,278.47,280.91,278.41,280.43,52890500,216883,280.027102,278.47,280.91,278.41,280.43,52890500,216883,280.027102
280.56,281.18,280.06,281.06,45335061,169756,280.805105,280.56,281.18,280.06,281.06,45335061,169756,280.805105,280.56,281.18,280.06,281.06,45335061,169756,280.805105,280.56,281.18,280.06,281.06,45335061,169756,280.805105,280.56,281.18,280.06,281.06,45335061,169756,280.805105
280.31,280.74,279.46,279.96,61491867,236049,280.146764,280.31,280.74,279.46,279.96,61491867,236049,280.146764,280.31,280.74,279.46,279.96,61491867,236049,280.146764,280.31,280.74,279.46,279.96,61491867,236049,280.146764,280.31,280.74,279.46,279.96,61491867,236049,280.146764
279.77,280.48,279.5,279.72,83383795,235636,279.86541,279.77,280.48,279.5,279.72,83383795,235636,279.86541,279.77,280.48,279.5,279.72,83383795,235636,279.86541,279.77,280.48,279.5,279.72,83383795,235636,279.86541,279.77,280.48,279.5,279.72,83383795,235636,279.86541
279.45,280.43,279.06,280.24,47047565,190987,279.912183,279.45,280.43,279.06,280.24,47047565,190987,279.912183,279.45,280.43,279.06,280.24,47047565,190987,279.912183,279.45,280.43,279.06,280.24,47047565,190987,279.912183,279.45,280.43,279.06,280.24,47047565,190987,279.912183
281.79,282.56,280.63,281.55,68218935,251365,281.615133,281.79,282.56,280.63,281.55,68218935,251365,281.615133,281.79,282.56,280.63,281.55,68218935,251365,281.615133,281.79,282.56,280.63,281.55,68218935,251365,281.615133,281.79,282.56,280.63,281.55,68218935,251365,281.615133
281.33,284.37,281.28,284.14,78935477,265447,282.837607,281.33,284.37,281.28,284.14,78935477,265447,282.837607,281.33,284.37,281.28,284.14,78935477,265447,282.837607,281.33,284.37,281.28,284.14,78935477,265447,282.837607,281.33,284.37,281.28,284.14,78935477,265447,282.837607
